route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D13CAR-2_Saturday,60030008211433-JUNE24,,0,0305400,300821_JUNE24,59962349-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008211348-JUNE24,,0,0305500,300821_JUNE24,59962350-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008201210-JUNE24,,1,0300400,300820_JUNE24,59962351-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008211418-JUNE24,,0,0300100,300821_JUNE24,59962352-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008210652-JUNE24,,0,0300400,300821_JUNE24,59962353-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008211704-JUNE24,,0,0305300,300821_JUNE24,59962354-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008200645-JUNE24,,1,0300100,300820_JUNE24,59962355-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008201340-JUNE24,,1,0305300,300820_JUNE24,59962356-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008200716-JUNE24,,1,0300300,300820_JUNE24,59962357-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008200815-JUNE24,,1,0305500,300820_JUNE24,59962358-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008200830-JUNE24,,1,0305200,300820_JUNE24,59962359-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008200928-JUNE24,,1,0300300,300820_JUNE24,59962360-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008202007-JUNE24,,1,0305400,300820_JUNE24,59962361-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D13CAR-2_Saturday,60030008212105-JUNE24,,0,0305400,300821_JUNE24,59962362-JUNE24-D13CAR-2_Saturday
30-13183,JUNE24-D07CAR-2_Saturday,60030008211719-JUNE24,,0,0300300,300821_JUNE24,59962363-JUNE24-D07CAR-2_Saturday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200544-JUNE24,,1,0305100,300820_JUNE24,59962387-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008210751-JUNE24,,0,0305400,300821_JUNE24,59962388-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200453-JUNE24,,1,0300100,300820_JUNE24,59962389-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210523-JUNE24,,0,0300200,300821_JUNE24,59962390-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200700-JUNE24,,1,0305300,300820_JUNE24,59962391-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211750-JUNE24,,0,0300400,300821_JUNE24,59962392-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200611-JUNE24,,1,0300200,300820_JUNE24,59962393-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200913-JUNE24,,1,0305300,300820_JUNE24,59962394-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201904-JUNE24,,1,0300400,300820_JUNE24,59962395-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008212004-JUNE24,,0,0300400,300821_JUNE24,59962396-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210553-JUNE24,,0,0300100,300821_JUNE24,59962397-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232153-JUNE24,,1,0309811,300823_JUNE24,59962398-JUNE24-D13CAR-3_Sunday
